year,month,day,hour,map_mm,mat_degc,ptps
1979,10,1,0,0,4.657,0.73
1979,10,1,6,0,13.028,0.07
1979,10,1,12,0,20.389,0
1979,10,1,18,0,11.694,0
1979,10,2,0,0,6.62,0.133333333333333
1979,10,2,6,0,13.324,0
1979,10,2,12,0,18.315,0
1979,10,2,18,0,8.481,0.176666666666667
1979,10,3,0,0,1.556,0.975
1979,10,3,6,0,9.046,0.365
1979,10,3,12,0,18.843,0
1979,10,3,18,0,5.667,0.71
1979,10,4,0,0,1.037,1
1979,10,4,6,0,10.741,0.368333333333333
1979,10,4,12,0,20.963,0
1979,10,4,18,0,9.343,0.285
1979,10,5,0,0,3.528,0.995
1979,10,5,6,0,13.194,0.21
1979,10,5,12,0,21.87,0
1979,10,5,18,0,9.926,0.09
1979,10,6,0,0,4.602,0.818333333333333
1979,10,6,6,0,14.13,0.00666666666666667
1979,10,6,12,0,21.583,0
1979,10,6,18,0,12.861,0.0166666666666667
1979,10,7,0,0,5.731,0.828333333333333
1979,10,7,6,0,13.111,0.045
1979,10,7,12,0,19.315,0
1979,10,7,18,0,7.981,0.415
1979,10,8,0,0,3.213,0.956666666666667
1979,10,8,6,0,9.593,0.34
1979,10,8,12,0,18.63,0
1979,10,8,18,0,9.685,0.0316666666666667
1979,10,9,0,0,4.056,0.625
1979,10,9,6,0,10.13,0.193333333333333
1979,10,9,12,0,19.843,0
1979,10,9,18,0,9.528,0.0516666666666667
1979,10,10,0,0,3.491,0.846666666666667
1979,10,10,6,0,10.954,0.273333333333333
1979,10,10,12,0,19.991,0
1979,10,10,18,0,7.87,0.526666666666667
1979,10,11,0,0,2.88,1
1979,10,11,6,0,11.667,0.275
1979,10,11,12,0,18.954,0
1979,10,11,18,0,9.5,0.226666666666667
1979,10,12,0,0,5.417,0.986666666666667
1979,10,12,6,0,12.343,0.108333333333333
1979,10,12,12,0,19.889,0
1979,10,12,18,0,8.065,0.36
1979,10,13,0,0,3.176,0.925
1979,10,13,6,0,10.583,0.251666666666667
1979,10,13,12,0,17.972,0
1979,10,13,18,0,9.204,0.08
1979,10,14,0,0.4826,6.074,0.34
1979,10,14,6,1.4732,10.769,0.0166666666666667
1979,10,14,12,2.4892,13.824,0
1979,10,14,18,0,8.241,0
1979,10,15,0,0.8128,5.139,0.055
1979,10,15,6,0,7.935,0
1979,10,15,12,0,10.926,0
1979,10,15,18,0,3.222,0.346666666666667
1979,10,16,0,0,-1.231,0.998333333333333
1979,10,16,6,0,3.352,0.555
1979,10,16,12,0,10.111,0.0116666666666667
1979,10,16,18,0,4.037,0.495
1979,10,17,0,0.0508,0.046,1
1979,10,17,6,0.3048,4.241,0.44
